Sentence;P;P_DESC;A0;A0-DESC;A1;A1_DESC;A2;A2_DESC
If this is a new subscriber, the use case "Pay Fee with Credit Card" is invoked following step 9 above.;invoked;;;;the use case "Pay Fee with Credit Card";;;
For a new subscriber, when this use case is complete, the subscriber is immediately eligible to receive pages.;receive;get;the subscriber;receiver;pages;thing gotten;;
This needs to be secured as credit card information may be in the profile.;needs;need;This;needer;to be secured as credit card information may be in the profile.;thing needed;;
This needs to be secured as credit card information may be in the profile.;secured;get;;;This;thing acquired;as credit card information may be in the profile.;source, gained from
Subscriber selects "pay fee with credit card".;selects;to make a choice, to pick out;Subscriber;selector;"pay fee;entity selected;;
System checks to see if user is a current subscriber.;see;view;;;if user is a current subscriber;thing viewed;;
If the user is a new subscriber, a new subscriber ID is generated by the system (using any algorithm that will generate a unique number - this may, for instance, be a continually incrementing number within the system).;generated;create;by the system (using any algorithm that will generate a unique number;creator;ID;thing created;;
If the user is a new subscriber, a new subscriber ID is generated by the system (using any algorithm that will generate a unique number - this may, for instance, be a continually incrementing number within the system).;(using;;the system;;any algorithm that will generate a unique number;;;
If the user is a new subscriber, a new subscriber ID is generated by the system (using any algorithm that will generate a unique number - this may, for instance, be a continually incrementing number within the system).;generate;create;any algorithm;creator;a unique number;thing created;;
If the user is a new subscriber, a new subscriber ID is generated by the system (using any algorithm that will generate a unique number - this may, for instance, be a continually incrementing number within the system).;incrementing;;;;a;;;
System checks to see if current subscriber credit card information is on file.;see;view;;;if current subscriber credit card information is on file;thing viewed;;
If it is, user is presented with indicator of credit card on file (using the last four digits of the card number), and asked if this card should be used.;presented;give;;;with indicator of credit card on file (using the last four digits of the card number);thing given;;
If it is, user is presented with indicator of credit card on file (using the last four digits of the card number), and asked if this card should be used.;(using;;file;;the last four digits of the card number);;;
If it is, user is presented with indicator of credit card on file (using the last four digits of the card number), and asked if this card should be used.;asked;ask a question;user;asker;if this card should be used;question;;
If it is, user is presented with indicator of credit card on file (using the last four digits of the card number), and asked if this card should be used.;used;Take advantage of, utilise;;;this card;thing used;;
If user declines current card information on file, system prompts subscriber for credit card number, expiration date, and (optionally) PIN.;prompts;cause an event;system;causer, prompter;subscriber for credit card number, expiration date, and (optionally) PIN.;event;;
System verifies that expiration date on credit card has not already passed.;verifies;determine truth of a proposition;System;verifier;that expiration date on credit card has not already passed;verified;;
System verifies that expiration date on credit card has not already passed.;passed;go by;;;expiration date on credit card;thing passing;;
System sends credit card info to external system for charge validation and application.;sends;give;System;sender;credit card info;sent;to external system for charge validation and application;sent-to
Upon receipt of validation, system updates subscriber record to indicate new expiration date.;indicate;show;;;new expiration date;thing indicated;;
Subscriber selects "pay fee with credit card".;selects;to make a choice, to pick out;Subscriber;selector;"pay fee;entity selected;;
User either accepts information as is or updates appropriately.;accepts;take willingly;User;acceptor;information as is or updates;thing accepted;;
System sends credit card info to external system for charge validation and application.;sends;give;System;sender;credit card info;sent;to external system for charge validation and application;sent-to
Upon receipt of validation, system updates subscriber record to indicate new expiration date.;indicate;show;;;new expiration date;thing indicated;;
If the information provided by the subscriber is not validated by the external system, an error message will be displayed and the subscriber record will NOT be updated (so that the last steps in the above flows will not be executed).;provided;cf give;by the subscriber;provider;the information;thing provided;;
If the information provided by the subscriber is not validated by the external system, an error message will be displayed and the subscriber record will NOT be updated (so that the last steps in the above flows will not be executed).;validated;to declare or make legally valid;by the external system;causer;the information provided by the subscriber;entity validated;;
If the information provided by the subscriber is not validated by the external system, an error message will be displayed and the subscriber record will NOT be updated (so that the last steps in the above flows will not be executed).;displayed;to present, exhibit;;;an error message;entity displayed;;
If the information provided by the subscriber is not validated by the external system, an error message will be displayed and the subscriber record will NOT be updated (so that the last steps in the above flows will not be executed).;updated;make more modern;;;(;thing becoming more modern;;
If the information provided by the subscriber is not validated by the external system, an error message will be displayed and the subscriber record will NOT be updated (so that the last steps in the above flows will not be executed).;executed;enact;;;the last steps in the above flows;thing done;;
If the credit card has expired, an error message will be displayed and the subscriber record will not be updated.;expired;get to end of valid time period;;;the credit card;commodity, thing expiring;;
If the credit card has expired, an error message will be displayed and the subscriber record will not be updated.;displayed;to present, exhibit;;;an error message;entity displayed;;
If the credit card has expired, an error message will be displayed and the subscriber record will not be updated.;updated;make more modern;;;the subscriber record;thing becoming more modern;;
User is identified as a subscriber and has a subscriber ID associated with them.;identified;label, call;;;User;item being labelled;as a subscriber;attribute
User is identified as a subscriber and has a subscriber ID associated with them.;has;own, possess;User;owner;a subscriber ID associated with them;possession;;
User is identified as a subscriber and has a subscriber ID associated with them.;associated;include in some group;;;a subscriber ID;theme, thing being included in some group;with them;group, associated-with
For first-time subscribers, a preliminary subscriber entry is made.;made;bid or purchase or whatever;;;a preliminary subscriber entry;bid or purchase or whatever;;
Advertiser selects "Print Reports".;selects;to make a choice, to pick out;Advertiser;selector;"Print Reports".;entity selected;;
System displays all advertising content provided by advertiser.;provided;cf give;by advertiser;provider;all advertising content;thing provided;;
Advertiser selects one or more pieces of content on which to report.;selects;to make a choice, to pick out;Advertiser;selector;one or more pieces of content on which to report;entity selected;;
Advertiser selects one or more pieces of content on which to report.;report;report, tell;;;one or more pieces of content;thing reported;;
Available reports for each advertiser are based on advertiser contract with WebNewsOnLine, and are part of advertiser profile on file.;based;justified by;;;;;on advertiser contract with WebNewsOnLine;justification
Advertiser selects one or more reports to generate.;selects;to make a choice, to pick out;Advertiser;selector;one or more reports to generate;entity selected;;
Advertiser selects one or more reports to generate.;generate;create;;;;;;
Advertiser selects format (Word, Excel, or to browser window).;selects;to make a choice, to pick out;Advertiser;selector;format (Word, Excel, or to browser window).;entity selected;;
Advertiser selects format (Word, Excel, or to browser window).;browser;;;;window);;;
System creates first report and prompts user to save or view.;creates;create;System;creator;first report;thing created;;
System creates first report and prompts user to save or view.;prompts;cause an event;System;causer, prompter;user to save or view;event;;
System creates first report and prompts user to save or view.;save;collect, accrue;;;user;thing saved, collected;;
System creates first report and prompts user to save or view.;view;watch;;;;;;
If advertiser selects "Save", a message is sent to the browser to initiate a download of the report file.;selects;to make a choice, to pick out;advertiser;selector;"Save";entity selected;;
If advertiser selects "Save", a message is sent to the browser to initiate a download of the report file.;sent;give;;;a message;sent;to the browser to initiate a download of the report file;sent-to
If advertiser selects "Save", a message is sent to the browser to initiate a download of the report file.;initiate;begin;;;a download of the report file;Theme(-Creation);;
User interacts with browser to select location for saving the report, and the browser saves the downloaded file.;select;to make a choice, to pick out;;;location for saving the report, and the browser saves the downloaded file;entity selected;;
User interacts with browser to select location for saving the report, and the browser saves the downloaded file.;saving;financial sense;;;the report;money;;
User interacts with browser to select location for saving the report, and the browser saves the downloaded file.;saves;financial sense;the browser;entity saving money;the downloaded file;money;;
If advertiser selects "View", the report is displayed in the browser.;selects;to make a choice, to pick out;advertiser;selector;"View";entity selected;;
If advertiser selects "View", the report is displayed in the browser.;displayed;to present, exhibit;;;the report;entity displayed;in the browser;location
If more reports are available in this session, advertiser then selects another report or terminates the viewing session.;selects;to make a choice, to pick out;advertiser;selector;another report;entity selected;;
If more reports are available in this session, advertiser then selects another report or terminates the viewing session.;terminates;end, stop;advertiser;Intentional agent;the viewing session;Thing ending;;
System creates next report and prompts user to save or view.;creates;create;System;creator;next report;thing created;;
System creates next report and prompts user to save or view.;prompts;cause an event;System;causer, prompter;user to save or view;event;;
System creates next report and prompts user to save or view.;save;collect, accrue;;;user;thing saved, collected;;
System creates next report and prompts user to save or view.;view;watch;;;;;;
Bullets 4) through 11) are repeated until no more reports remain.;repeated;say again;;;Bullets 4) through 11);utterance or action;;
Bullets 4) through 11) are repeated until no more reports remain.;remain;be left behind;;;no more reports;Thing remaining;;
User is connected and validated as an advertiser.;connected;attach;;;as an advertiser;patient, thing(s) being tied;;
User is connected and validated as an advertiser.;validated;to declare or make legally valid;;;User;entity validated;as an advertiser;
Encryption of the information is not required (issue from Inception phase).;required;need;;;(issue from Inception phase);thing required;;
Obsolete content will be purged after 3 months.;purged;to free from impurities, purify;;;Obsolete content;entity purged;;
No reports may be run on purged content.;run;operate, procede;;;No reports;machine, operation, procedure;;
No reports may be run on purged content.;purged;to free from impurities, purify;;;content;entity purged;;
User selects "Provide Feedback".;selects;to make a choice, to pick out;User;selector;Provide Feedback";entity selected;;
User selects "Provide Feedback".;Provide;cf give;";provider;;;Feedback";entity provided for (benefactive)
System looks up central user support phone numbers.;looks;vision;System;looker;central user support phone numbers.;thing looked at or for or on;;
System displays phone numbers to call and gives the user the option to send email immediately.;call;label;;;phone numbers;item being labelled;;
System displays phone numbers to call and gives the user the option to send email immediately.;gives;transfer;System displays;giver;the option to send email immediately;thing given;;
System displays phone numbers to call and gives the user the option to send email immediately.;send;give;;;email;sent;;
User selects email option.;selects;to make a choice, to pick out;User;selector;email option.;entity selected;;
System looks up email address of customer service and passes it to the browser.;looks;seeming;System;seemer;email address of customer service;seemed like, attribute of arg0;;
System looks up email address of customer service and passes it to the browser.;passes;give;System;giver;it;thing changing hands;to the browser;getter
System launches email browser client.;launches;introduce, bring up, start;System;starter, agent;email browser client;thing being launched;;
User enters message, presses "Send".;enters;enter, go in;User;entity entering;message;place or thing entered;;
User enters message, presses "Send".;";;presses;;Send";;;
User enters message, presses "Send".;Send;give;presses;sender;";sent;;
Browser mail client sends mail.;sends;give;Browser mail client;sender;mail;sent;;
Advertiser selects "Post Content".;selects;to make a choice, to pick out;Advertiser;selector;"Post Content";entity selected;;
System validates account billing information to ensure new content will be accepted.;validates;to declare or make legally valid;System;causer;account billing information;entity validated;;
System validates account billing information to ensure new content will be accepted.;ensure;promise;;;new content will be accepted.;guarantee;;
System validates account billing information to ensure new content will be accepted.;accepted;take willingly;;;new content;thing accepted;;
This consists of verifying that the advertiser account is in good standing (no outstanding balance over 30 days).;consists;be composed of pieces;;;This;whole;of verifying that the advertiser account is in good standing (no outstanding balance over 30 days);parts
This consists of verifying that the advertiser account is in good standing (no outstanding balance over 30 days).;verifying;determine truth of a proposition;This;verifier;that the advertiser account is in good standing (no outstanding balance over 30 days);verified;;
This consists of verifying that the advertiser account is in good standing (no outstanding balance over 30 days).;);;;;30 days;;;
System prompts for name of content.;prompts;bring about, cause;System;causer, prompter;;;for name of content;impelled action
Advertiser uploads content in GIF format.;uploads;;Advertiser;;content;;;
System acknowledges successful saving of content.;acknowledges;admit;System;admitter, claimer, speaker;successful saving of content;proposition, claim, utterance;;
Categories are maintained as a reference list within the system.;maintained;keep (up);;;Categories;thing maintained;as a reference list within the system;benefactive
Advertiser selects categories for which this ad should be shown.;selects;to make a choice, to pick out;Advertiser;selector;categories for which this ad should be shown;entity selected;;
Advertiser selects categories for which this ad should be shown.;shown;cause to see;;;this ad;thing seen/shown;;
Frequencies are maintained as a reference list, prices are based on advertiser's contract with WebNewsOnLine.;maintained;keep (up);;;Frequencies;thing maintained;as a reference list;benefactive
Frequencies are maintained as a reference list, prices are based on advertiser's contract with WebNewsOnLine.;based;justified by;;;prices;decision;on advertiser's contract with WebNewsOnLine;justification
Pricing codes are maintained as part of the advertiser profile.;maintained;keep (up);;;Pricing codes;thing maintained;;
Advertiser selects desired frequency for this ad.;selects;to make a choice, to pick out;Advertiser;selector;desired frequency for this ad;entity selected;;
Advertiser selects desired frequency for this ad.;desired;want, crave;;;frequency for this ad;wanted;;
System creates preliminary billing record for this ad based on number of categories selected, frequency, and advertiser's profile.;creates;create;System;creator;preliminary billing record for this ad based on number of categories selected, frequency, and advertiser's profile;thing created;;
System creates preliminary billing record for this ad based on number of categories selected, frequency, and advertiser's profile.;based;justified by;;;this ad;decision;on number of categories selected, frequency, and advertiser's profile;justification
System creates preliminary billing record for this ad based on number of categories selected, frequency, and advertiser's profile.;selected;to make a choice, to pick out;;;categories;entity selected;;
System places content in editor’s "to-do" workflow queue for approval.;places;location;System;putter;"to-do" workflow queue for approval.;thing put;in editor’s;where put
System places content in editor’s "to-do" workflow queue for approval.;";;;;to-do" workflow queue for approval;;;
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;defined;assign a label or attribute;;;more than one editor;thing defined;;
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;used;Take advantage of, utilise;;;a round-robin approach;thing used;to attempt to balance load;purpose
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;attempt;try;a round-robin approach;Agent/Entity Trying;to balance load;thing tried;;
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;balance;establish a balance;a round-robin approach;balancer, agent;load;thing balanced;;
Editors may be marked as unavailable (if, for instance, they are on vacation or sick or out of the office), in which case they will not be included in the round-robin process.;marked;make a mark;;;Editors;mark;;
Editors may be marked as unavailable (if, for instance, they are on vacation or sick or out of the office), in which case they will not be included in the round-robin process.;included;include;;;;;in the round-robin process;group
Advertiser selects "Post Content".;selects;to make a choice, to pick out;Advertiser;selector;"Post Content";entity selected;;
System validates account billing information to ensure new content will be accepted.;validates;to declare or make legally valid;System;causer;account billing information;entity validated;;
System validates account billing information to ensure new content will be accepted.;ensure;promise;;;new content will be accepted.;guarantee;;
System validates account billing information to ensure new content will be accepted.;accepted;take willingly;;;new content;thing accepted;;
Account information is invalid, advertiser is prompted to contact WebNewsOnLine.;prompted;bring about, cause;;;advertiser;impelled agent;to contact WebNewsOnLine;impelled action
Account information is invalid, advertiser is prompted to contact WebNewsOnLine.;contact;to bring or come into contact;;;WebNewsOnLine;entity contacted;;
System presents central phone number for advertising department (stored in system).;presents;give;System;giver;central phone number for advertising department (stored in system);thing given;;
System presents central phone number for advertising department (stored in system).;stored;store;;;central phone number for advertising department;commodity;;
User is connected and validated as an advertiser.;connected;attach;;;as an advertiser;patient, thing(s) being tied;;
User is connected and validated as an advertiser.;validated;to declare or make legally valid;;;User;entity validated;as an advertiser;
Advertiser account exists.;exists;be;;;Advertiser account;thing existing;;
When this use case is complete, advertising content can be displayed.;displayed;to present, exhibit;;;advertising content;entity displayed;;
System scans "archived" list of content.;scans;look at, examine;System;looker, examiner;"archived" list of content;thing examined;;
Content subscribed to remains in a user's "unread" category until the story has been viewed.;subscribed;like a magazine subscription, or belief system;Content;subscriber;to remains;magazine or belief system;;
Content subscribed to remains in a user's "unread" category until the story has been viewed.;viewed;assign an attribute to;;;the story;thing labelled;;
Once the story has been viewed, the story is marked as "archived" for that subscriber.;viewed;assign an attribute to;;;the story;thing labelled;;
Once the story has been viewed, the story is marked as "archived" for that subscriber.;marked;make a mark;;;the story;mark;;
After two days in the "archived" category, the story is removed from the subscriber's "archived" category.;removed;remove;;;the story;thing being removed;from the subscriber's "archived" category;removed from
For any stories older than 2 days, the story is moved back into the general category and the reference count attribute of the content object is decremented.;moved;change location;;;the story;moved;into the general category;destination
For any stories older than 2 days, the story is moved back into the general category and the reference count attribute of the content object is decremented.;decremented;;;;the reference count attribute of the content object;;;
When a story is no longer referenced by any subscribers' "unread" or "archived" category (reference count is 0), the system deletes the story.;referenced;;by any subscribers' "unread";;a story;;;
When a story is no longer referenced by any subscribers' "unread" or "archived" category (reference count is 0), the system deletes the story.;deletes;remove;the system;entity removing;the story;thing being removed;;
System displays banner ads, general content categories, and specific stories for which pages have been sent.;sent;give;;;pages;sent;;
For any paged stories, the stories are marked as viewed and placed into the "archived" category.;marked;make a mark;;;the stories;mark;;
For any paged stories, the stories are marked as viewed and placed into the "archived" category.;viewed;assign an attribute to;;;;;;
For any paged stories, the stories are marked as viewed and placed into the "archived" category.;placed;location;;;;;into the "archived" category;where put
System provides the option for the user to subscribe.;provides;cf give;System;provider;the option for the user to subscribe;thing provided;;
System provides the option for the user to subscribe.;subscribe;pledge or contribute or sign up(?);the user;contributor;;;;
If this content has a pending view count of 0 and the last date viewed is more than 2 days ago, the content is deleted.;has;own, possess;this content;owner;a pending view count of 0;possession;;
If this content has a pending view count of 0 and the last date viewed is more than 2 days ago, the content is deleted.;viewed;assign an attribute to;;;the last date;thing labelled;;
If this content has a pending view count of 0 and the last date viewed is more than 2 days ago, the content is deleted.;deleted;remove;;;the content;thing being removed;;
Content editor places content on WebNewsOnLine web site (existing system, mechanisms for posting defined by existing system).;existing;be;;;(;thing existing;;
Content editor places content on WebNewsOnLine web site (existing system, mechanisms for posting defined by existing system).;defined;assign a label or attribute;by existing system);describer;;;;
Content editor places content on WebNewsOnLine web site (existing system, mechanisms for posting defined by existing system).;existing;be;;;;;;
This currently includes indicating major content category (professional sports, high school sports, collegiate sports, or other).;includes;include;;;indicating major content category (professional sports, high school sports, collegiate sports, or other);theme, thing being included in some group;This;group
This currently includes indicating major content category (professional sports, high school sports, collegiate sports, or other).;indicating;show;;;;;;
WebNewsOnLine system checks reference information to determine whether this content category is known by the Collegiate Sports Paging System.;determine;set, establish, decide;;;whether this content category is known by the Collegiate Sports Paging System;thing determined;;
WebNewsOnLine system checks reference information to determine whether this content category is known by the Collegiate Sports Paging System.;known;understand;by the Collegiate Sports Paging System;knower;this content category;thing known or thought;;
For categories that are known by the Collegiate Sports Paging System, stories are transmitted to the Collegiate Sports Paging System along with category information.;known;understand;by the Collegiate Sports Paging System;knower;categories;thing known or thought;;
For categories that are known by the Collegiate Sports Paging System, stories are transmitted to the Collegiate Sports Paging System along with category information.;transmitted;send (electronically);;;stories;sent;to the Collegiate Sports Paging System;sent-to
Content is placed into the Collegiate Sports Paging System storage for possible paging.;placed;location;;;Content;thing put;into the Collegiate Sports Paging System storage for possible paging;where put
If the content is not categorized, the story is placed in the editor’s "to-do" workflow queue.;categorized;assign into a category;;;the content;thing assigned;;
If the content is not categorized, the story is placed in the editor’s "to-do" workflow queue.;placed;location;;;"to-do" workflow queue.;thing put;in the editor’s;where put
If the content is not categorized, the story is placed in the editor’s "to-do" workflow queue.;";;;;to-do" workflow queue;;;
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;defined;assign a label or attribute;;;more than one editor;thing defined;;
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;used;Take advantage of, utilise;;;a round-robin approach;thing used;to attempt to balance load;purpose
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;attempt;try;a round-robin approach;Agent/Entity Trying;to balance load;thing tried;;
If more than one editor is defined, a round-robin approach is used to attempt to balance load.;balance;establish a balance;a round-robin approach;balancer, agent;load;thing balanced;;
Editors may be marked as unavailable (if, for instance, they are on vacation or sick or out of the office), in which case they will not be included in the round-robin process.;marked;make a mark;;;Editors;mark;;
Editors may be marked as unavailable (if, for instance, they are on vacation or sick or out of the office), in which case they will not be included in the round-robin process.;included;include;;;;;in the round-robin process;group
Editor must be logged in.;logged;to record or to navigate somewhere online;;;Editor;thing recorded, internet/software;;
When this use case is complete, the "Send Page" use case is invoked.;Send;give;the ";sender;Page;sent;;
When this use case is complete, the "Send Page" use case is invoked.;invoked;call upon;;;" use case;invoked;;
The flow is initiated when an editor posts content to the system or when new content is received from the existing WebNewsOnLine system.;initiated;begin;The flow;causer;when an editor posts;Theme(-Creation);content to the system;Instrument
The flow is initiated when an editor posts content to the system or when new content is received from the existing WebNewsOnLine system.;received;get;;;new content;thing gotten;from the existing WebNewsOnLine system;received from
The flow is initiated when an editor posts content to the system or when new content is received from the existing WebNewsOnLine system.;existing;be;;;the;thing existing;;
System checks subscriber profiles to determine whether any subscribers wish to be paged for this category of content.;determine;set, establish, decide;;;whether any subscribers wish to be paged for this category of content;thing determined;;
System checks subscriber profiles to determine whether any subscribers wish to be paged for this category of content.;wish;wish;any subscribers;wisher;to be paged for this category of content;thing wished for;;
System checks subscriber profiles to determine whether any subscribers wish to be paged for this category of content.;paged;notify someone via beeper;;;any subscribers;notified person;for this category of content;
System generates a text message based on the headline.;generates;create;System;creator;a text message based on the headline;thing created;;
System generates a text message based on the headline.;based;justified by;;;a text message;decision;on the headline;justification
